epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.34,2.12668,5.12508,1.90057,0.01967,0.28571,0.01354,0.00431,2.12942,5.77671,1.86441,4e-05,4e-05,4e-05
2,297.43,1.69557,3.42752,1.64643,0.08126,0.28571,0.06947,0.02216,1.92134,4.10868,1.66611,9.901e-05,9.901e-05,9.901e-05
3,450.991,1.33459,2.65068,1.35702,0.28861,0.42857,0.19305,0.1413,1.06106,3.40636,1.25504,0.000156832,0.000156832,0.000156832
4,629.839,1.03124,2.11475,1.17576,0.46143,0.57143,0.43142,0.18217,1.16333,3.51391,1.24042,0.000213466,0.000213466,0.000213466
5,789.005,0.7834,1.53718,1.01302,0.60931,0.71429,0.50937,0.36824,0.80763,2.90184,0.98546,0.000268912,0.000268912,0.000268912
6,956.082,0.59837,1.26921,0.95104,0.71225,0.70817,0.73319,0.69442,0.45884,2.37458,0.79298,0.00032317,0.00032317,0.00032317
7,1113.04,0.57576,1.06601,0.92927,0.70803,0.71429,0.65973,0.62375,0.39499,2.58035,0.7731,0.00037624,0.00037624,0.00037624
8,1270.45,0.59656,1.23536,0.94284,0.59505,0.85714,0.67855,0.64117,0.46616,2.49508,0.78609,0.000428122,0.000428122,0.000428122
9,1425.19,0.53315,1.20957,0.90199,0.54967,0.69915,0.51551,0.37466,0.66188,3.43287,1.01371,0.000478816,0.000478816,0.000478816
10,7006.4,0.49074,0.82388,0.88481,0.62368,0.71077,0.61886,0.47496,0.4913,3.55863,0.80615,0.000528322,0.000528322,0.000528322
11,7138.03,0.49095,0.86748,0.8661,0.66101,0.85714,0.75733,0.71389,0.42946,1.87081,0.79661,0.00057664,0.00057664,0.00057664
12,7265,0.50188,0.80369,0.87997,0.66372,0.85714,0.77856,0.72443,0.39993,1.60875,0.7981,0.00062377,0.00062377,0.00062377
13,7389.63,0.50637,0.71267,0.87241,0.57591,0.71429,0.75233,0.70266,0.41511,2.54431,0.82238,0.000669712,0.000669712,0.000669712
14,7514.45,0.51051,0.72439,0.90729,0.69029,0.71429,0.77384,0.69559,0.53811,1.45623,0.86101,0.000714466,0.000714466,0.000714466
15,7974.82,0.56335,0.75379,0.90068,0.78775,0.57143,0.59035,0.49467,0.9291,1.75025,1.17504,0.000758032,0.000758032,0.000758032
16,8208.21,0.58453,0.74478,0.86921,0.73435,0.57143,0.56942,0.29652,1.68092,2.18039,1.68983,0.00080041,0.00080041,0.00080041
17,8375.05,0.53347,0.67623,0.88878,0.68031,0.71429,0.70245,0.61984,0.54561,4.03201,0.8531,0.0008416,0.0008416,0.0008416
18,8527.79,0.49277,0.63742,0.85759,0.8,0.57143,0.69653,0.61859,0.61975,9.76834,0.86706,0.000881602,0.000881602,0.000881602
19,8707.14,0.54882,0.68643,0.89764,0.8,0.57143,0.58012,0.47337,0.76253,9.28541,0.91699,0.000920416,0.000920416,0.000920416
20,8865.25,0.46848,0.6015,0.86038,0.36167,0.57143,0.51381,0.41567,0.69942,4.28692,0.90933,0.000958042,0.000958042,0.000958042
21,9013.04,0.56014,0.69156,0.87834,0.35429,0.71429,0.57009,0.51339,0.47079,5.62653,0.81785,0.00099448,0.00099448,0.00099448
22,9145.02,0.48229,0.66662,0.89059,1,0.28571,0.62506,0.59052,0.48242,9.63738,0.81277,0.00102973,0.00102973,0.00102973
23,9286.31,0.59975,0.78808,0.91278,0.22108,0.85714,0.61184,0.56377,0.50938,8.72328,0.83365,0.00106379,0.00106379,0.00106379
24,9430.3,0.49691,0.54197,0.8955,0.29895,1,0.64483,0.5673,0.65809,4.19257,0.87666,0.00109667,0.00109667,0.00109667
25,9571.11,0.55487,0.61058,0.88988,0.56322,0.57143,0.61984,0.43628,1.05056,3.08185,1.04526,0.00112835,0.00112835,0.00112835
26,9707.06,0.48512,0.60813,0.85238,0.26128,0.57143,0.635,0.40527,0.84359,6.63469,0.99956,0.00115885,0.00115885,0.00115885
27,9849.65,0.48105,0.57662,0.87381,0.1919,0.71429,0.62558,0.56624,0.51466,5.99358,0.84527,0.00118816,0.00118816,0.00118816
28,9990.93,0.48432,0.55552,0.86859,0.49905,0.71429,0.79265,0.74899,0.47874,3.13933,0.82134,0.00121628,0.00121628,0.00121628
29,10134.1,0.48053,0.53583,0.86345,0.49905,0.71429,0.79265,0.74899,0.47874,3.13933,0.82134,0.00124322,0.00124322,0.00124322
30,10297.4,0.47162,0.56898,0.88905,0.74784,1,0.92389,0.84125,0.51122,2.0113,0.81708,0.00126896,0.00126896,0.00126896
31,10451.4,0.47802,0.58803,0.8972,0.74734,1,0.86246,0.73596,0.52635,1.59703,0.8364,0.00129352,0.00129352,0.00129352
32,10602.1,0.49498,0.58649,0.86503,0.68693,1,0.80611,0.65971,0.56371,1.89908,0.85706,0.00131689,0.00131689,0.00131689
33,10743.6,0.46305,0.53803,0.8543,0.68693,1,0.80611,0.65971,0.56371,1.89908,0.85706,0.00133907,0.00133907,0.00133907
34,10909.7,0.43622,0.51786,0.85571,0.76836,1,0.80611,0.6458,0.59383,1.92463,0.85979,0.0013466,0.0013466,0.0013466
35,11068.1,0.53843,0.57914,0.91831,0.71044,0.70273,0.68281,0.57381,0.51132,1.60498,0.87252,0.0013268,0.0013268,0.0013268
36,11213.7,0.46618,0.54105,0.90275,0.69695,0.98693,0.74,0.64203,0.59704,1.51658,0.86501,0.001307,0.001307,0.001307
37,11359.3,0.44362,0.53454,0.84521,0.69695,0.98693,0.74,0.64203,0.59704,1.51658,0.86501,0.0012872,0.0012872,0.0012872
38,11513.5,0.44084,0.50292,0.85644,0.62986,0.97444,0.65909,0.52481,0.58078,1.65859,0.83055,0.0012674,0.0012674,0.0012674
39,11651.7,0.4449,0.50718,0.86574,0.69387,0.71429,0.75153,0.67698,0.4936,1.36596,0.79115,0.0012476,0.0012476,0.0012476
40,11791.6,0.40956,0.46473,0.84226,0.77671,0.9945,0.84367,0.77248,0.3924,1.01004,0.76081,0.0012278,0.0012278,0.0012278
41,11917.7,0.41988,0.49985,0.87172,0.77671,0.9945,0.84367,0.77248,0.3924,1.01004,0.76081,0.001208,0.001208,0.001208
42,12042.6,0.39534,0.43517,0.85442,0.45762,1,0.67817,0.6297,0.43932,1.09552,0.77296,0.0011882,0.0011882,0.0011882
